1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,3,9,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,9,1,
1,5,1,1,1,5,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,
1,5,1,1,1,5,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,
1,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,1,
1,5,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,5,1,
1,5,5,5,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,1,
1,5,1,5,1,5,1,1,1,5,1,5,1,1,1,5,1,5,1,5,1,
1,5,1,1,1,5,1,5,5,5,5,5,5,5,1,5,1,1,1,5,1,
1,5,5,5,5,5,1,5,1,1,0,1,1,5,1,5,5,5,5,5,1,
1,1,1,1,1,5,1,5,1,0,8,0,1,5,1,5,1,1,1,1,1,
5,5,5,5,5,5,5,5,1,7,10,11,1,5,5,5,5,5,5,5,5,
1,1,1,5,1,5,1,5,1,1,1,1,1,5,1,5,1,5,1,1,1,
1,5,5,5,1,5,1,5,5,5,6,5,5,5,1,5,1,5,5,5,1,
1,5,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,5,1,
1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,
1,5,1,1,1,5,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,
1,5,5,5,1,5,5,5,5,5,9,5,5,5,5,5,1,5,5,5,1,
1,1,1,5,1,5,1,5,1,1,1,1,1,5,1,5,1,5,1,1,1,
1,5,5,5,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,1,
1,5,5,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,
1,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
